text,label
안녕,SAFE
안녕하세요,SAFE
게임 시작하자,SAFE
준비됐어,SAFE
한 판 더 하자,SAFE
내 차례야,SAFE
카드 뽑아,SAFE
방 코드 보내줘,SAFE
잠깐만,SAFE
잘했어,SAFE
이겼다,SAFE
졌다,SAFE
아쉽다,SAFE
뭐함,SAFE
어디감,SAFE
왜 그래,SAFE
진짜 웃기다,SAFE
대박,SAFE
라면 먹고 올게,SAFE
개가 귀엽다,SAFE
새끼 고양이 귀엽다,SAFE
병원 갔다 올게,SAFE
신발 어디있지,SAFE
시발점이 어디야,SAFE
발표 시작하자,SAFE
지금 접속됨,SAFE
렉 걸린다,SAFE
카드가 안 보여,SAFE
포커 하자,SAFE
원카드 하자,SAFE
조커뽑기 하자,SAFE
내가 방장임,SAFE
준비 눌러줘,SAFE
gg,SAFE
good game,SAFE
hello,SAFE
nice,SAFE
wait,SAFE
brb,SAFE
시발,PROFANITY
씨발,PROFANITY
ㅅㅂ,PROFANITY
ㅆㅂ,PROFANITY
시1발,PROFANITY
씨1발,PROFANITY
시 발,PROFANITY
씨 발,PROFANITY
시@발,PROFANITY
씨-발,PROFANITY
시이발,PROFANITY
씨이발,PROFANITY
존나,PROFANITY
ㅈㄴ,PROFANITY
지랄,PROFANITY
ㅈㄹ,PROFANITY
병신,PROFANITY
ㅂㅅ,PROFANITY
병1신,PROFANITY
병 신,PROFANITY
개새끼,PROFANITY
개 새끼,PROFANITY
새끼야,PROFANITY
좆,PROFANITY
좆같네,PROFANITY
좆같다,PROFANITY
시발 뭐함,PROFANITY
아 시발,PROFANITY
씨발 뭐냐,PROFANITY
존나 못하네,PROFANITY
병신아,PROFANITY
개새끼야,PROFANITY
지랄하네,PROFANITY
ㅅㅂ 뭐야,PROFANITY
what the fuck,PROFANITY
fuck,PROFANITY
fucking,PROFANITY
shit,PROFANITY
bullshit,PROFANITY
fuck you,PROFANITY
